node_loc,technology,year_vtg,year_act,mode,time,value,unit
R12_AFR,crudeoil_piped_exp_mea,broadcast,broadcast,M1,year,,USD/GWa
R12_AFR,crudeoil_piped_exp_weu,broadcast,broadcast,M1,year,,USD/GWa
R12_CHN,crudeoil_piped_exp_fsu,broadcast,broadcast,M1,year,,USD/GWa
R12_EEU,crudeoil_piped_exp_fsu,broadcast,broadcast,M1,year,,USD/GWa
R12_EEU,crudeoil_piped_exp_weu,broadcast,broadcast,M1,year,,USD/GWa
R12_FSU,crudeoil_piped_exp_rcpa,broadcast,broadcast,M1,year,,USD/GWa
R12_FSU,crudeoil_piped_exp_chn,broadcast,broadcast,M1,year,,USD/GWa
R12_FSU,crudeoil_piped_exp_eeu,broadcast,broadcast,M1,year,,USD/GWa
R12_FSU,crudeoil_piped_exp_mea,broadcast,broadcast,M1,year,,USD/GWa
R12_FSU,crudeoil_piped_exp_pao,broadcast,broadcast,M1,year,,USD/GWa
R12_FSU,crudeoil_piped_exp_pas,broadcast,broadcast,M1,year,,USD/GWa
R12_FSU,crudeoil_piped_exp_sas,broadcast,broadcast,M1,year,,USD/GWa
R12_FSU,crudeoil_piped_exp_weu,broadcast,broadcast,M1,year,,USD/GWa
R12_LAM,crudeoil_piped_exp_nam,broadcast,broadcast,M1,year,,USD/GWa
R12_MEA,crudeoil_piped_exp_afr,broadcast,broadcast,M1,year,,USD/GWa
R12_MEA,crudeoil_piped_exp_eeu,broadcast,broadcast,M1,year,,USD/GWa
R12_MEA,crudeoil_piped_exp_fsu,broadcast,broadcast,M1,year,,USD/GWa
R12_MEA,crudeoil_piped_exp_sas,broadcast,broadcast,M1,year,,USD/GWa
R12_MEA,crudeoil_piped_exp_weu,broadcast,broadcast,M1,year,,USD/GWa
R12_NAM,crudeoil_piped_exp_lam,broadcast,broadcast,M1,year,,USD/GWa
R12_PAO,crudeoil_piped_exp_fsu,broadcast,broadcast,M1,year,,USD/GWa
R12_PAS,crudeoil_piped_exp_rcpa,broadcast,broadcast,M1,year,,USD/GWa
R12_PAS,crudeoil_piped_exp_chn,broadcast,broadcast,M1,year,,USD/GWa
R12_PAS,crudeoil_piped_exp_fsu,broadcast,broadcast,M1,year,,USD/GWa
R12_PAS,crudeoil_piped_exp_pao,broadcast,broadcast,M1,year,,USD/GWa
R12_SAS,crudeoil_piped_exp_fsu,broadcast,broadcast,M1,year,,USD/GWa
R12_SAS,crudeoil_piped_exp_mea,broadcast,broadcast,M1,year,,USD/GWa
R12_SAS,crudeoil_piped_exp_pas,broadcast,broadcast,M1,year,,USD/GWa
R12_WEU,crudeoil_piped_exp_afr,broadcast,broadcast,M1,year,,USD/GWa
R12_WEU,crudeoil_piped_exp_eeu,broadcast,broadcast,M1,year,,USD/GWa
R12_WEU,crudeoil_piped_exp_fsu,broadcast,broadcast,M1,year,,USD/GWa
R12_WEU,crudeoil_piped_exp_mea,broadcast,broadcast,M1,year,,USD/GWa
R12_MEA,crudeoil_piped_imp,broadcast,broadcast,M1,year,,USD/GWa
R12_WEU,crudeoil_piped_imp,broadcast,broadcast,M1,year,,USD/GWa
R12_FSU,crudeoil_piped_imp,broadcast,broadcast,M1,year,,USD/GWa
R12_RCPA,crudeoil_piped_imp,broadcast,broadcast,M1,year,,USD/GWa
R12_CHN,crudeoil_piped_imp,broadcast,broadcast,M1,year,,USD/GWa
R12_EEU,crudeoil_piped_imp,broadcast,broadcast,M1,year,,USD/GWa
R12_PAO,crudeoil_piped_imp,broadcast,broadcast,M1,year,,USD/GWa
R12_PAS,crudeoil_piped_imp,broadcast,broadcast,M1,year,,USD/GWa
R12_SAS,crudeoil_piped_imp,broadcast,broadcast,M1,year,,USD/GWa
R12_NAM,crudeoil_piped_imp,broadcast,broadcast,M1,year,,USD/GWa
R12_AFR,crudeoil_piped_imp,broadcast,broadcast,M1,year,,USD/GWa
R12_LAM,crudeoil_piped_imp,broadcast,broadcast,M1,year,,USD/GWa
