node_loc,technology,year_vtg,value,unit
R12_AFR,LNG_shipped_exp_rcpa,broadcast,5,y
R12_AFR,LNG_shipped_exp_chn,broadcast,5,y
R12_AFR,LNG_shipped_exp_eeu,broadcast,5,y
R12_AFR,LNG_shipped_exp_fsu,broadcast,5,y
R12_AFR,LNG_shipped_exp_lam,broadcast,5,y
R12_AFR,LNG_shipped_exp_mea,broadcast,5,y
R12_AFR,LNG_shipped_exp_nam,broadcast,5,y
R12_AFR,LNG_shipped_exp_pao,broadcast,5,y
R12_AFR,LNG_shipped_exp_pas,broadcast,5,y
R12_AFR,LNG_shipped_exp_sas,broadcast,5,y
R12_AFR,LNG_shipped_exp_weu,broadcast,5,y
R12_RCPA,LNG_shipped_exp_afr,broadcast,5,y
R12_RCPA,LNG_shipped_exp_chn,broadcast,5,y
R12_RCPA,LNG_shipped_exp_eeu,broadcast,5,y
R12_RCPA,LNG_shipped_exp_fsu,broadcast,5,y
R12_RCPA,LNG_shipped_exp_lam,broadcast,5,y
R12_RCPA,LNG_shipped_exp_mea,broadcast,5,y
R12_RCPA,LNG_shipped_exp_nam,broadcast,5,y
R12_RCPA,LNG_shipped_exp_pao,broadcast,5,y
R12_RCPA,LNG_shipped_exp_pas,broadcast,5,y
R12_RCPA,LNG_shipped_exp_sas,broadcast,5,y
R12_RCPA,LNG_shipped_exp_weu,broadcast,5,y
R12_CHN,LNG_shipped_exp_afr,broadcast,5,y
R12_CHN,LNG_shipped_exp_rcpa,broadcast,5,y
R12_CHN,LNG_shipped_exp_eeu,broadcast,5,y
R12_CHN,LNG_shipped_exp_fsu,broadcast,5,y
R12_CHN,LNG_shipped_exp_lam,broadcast,5,y
R12_CHN,LNG_shipped_exp_mea,broadcast,5,y
R12_CHN,LNG_shipped_exp_nam,broadcast,5,y
R12_CHN,LNG_shipped_exp_pao,broadcast,5,y
R12_CHN,LNG_shipped_exp_pas,broadcast,5,y
R12_CHN,LNG_shipped_exp_sas,broadcast,5,y
R12_CHN,LNG_shipped_exp_weu,broadcast,5,y
R12_EEU,LNG_shipped_exp_afr,broadcast,5,y
R12_EEU,LNG_shipped_exp_rcpa,broadcast,5,y
R12_EEU,LNG_shipped_exp_chn,broadcast,5,y
