node_loc,technology,node_rel,year_rel,year_act,mode,commodity,value,unit,relation
R12_EEU,gas_imp,R12_EEU,broadcast,broadcast,M1,gas,-1,???,domestic_gas
R12_WEU,gas_imp,R12_WEU,broadcast,broadcast,M1,gas,-1,???,domestic_gas
R12_AFR,gas_imp,R12_AFR,broadcast,broadcast,M1,gas,-1,???,domestic_gas
R12_SAS,gas_imp,R12_SAS,broadcast,broadcast,M1,gas,-1,???,domestic_gas
R12_RCPA,gas_imp,R12_RCPA,broadcast,broadcast,M1,gas,-1,???,domestic_gas
R12_CHN,gas_imp,R12_CHN,broadcast,broadcast,M1,gas,-1,???,domestic_gas
R12_EEU,gas_imp,R12_EEU,broadcast,broadcast,M1,gas,-1,???,domestic_gas
R12_WEU,gas_imp,R12_WEU,broadcast,broadcast,M1,gas,-1,???,domestic_gas
R12_NAM,gas_imp,R12_NAM,broadcast,broadcast,M1,gas,-1,???,domestic_gas
R12_SAS,gas_imp,R12_SAS,broadcast,broadcast,M1,gas,-1,???,domestic_gas
R12_RCPA,gas_imp,R12_RCPA,broadcast,broadcast,M1,gas,-1,???,domestic_gas
R12_CHN,gas_imp,R12_CHN,broadcast,broadcast,M1,gas,-1,???,domestic_gas
R12_PAO,gas_imp,R12_PAO,broadcast,broadcast,M1,gas,-1,???,domestic_gas
R12_EEU,gas_imp,R12_EEU,broadcast,broadcast,M1,gas,-1,???,domestic_gas
R12_WEU,gas_imp,R12_WEU,broadcast,broadcast,M1,gas,-1,???,domestic_gas
