node_loc,technology,year_vtg,year_act,value,unit,mode,time
R12_AFR,gas_piped_exp_mea,broadcast,broadcast,,USD/GWa,M1,year
R12_AFR,gas_piped_exp_weu,broadcast,broadcast,,USD/GWa,M1,year
R12_CHN,gas_piped_exp_fsu,broadcast,broadcast,,USD/GWa,M1,year
R12_EEU,gas_piped_exp_fsu,broadcast,broadcast,,USD/GWa,M1,year
R12_EEU,gas_piped_exp_weu,broadcast,broadcast,,USD/GWa,M1,year
R12_FSU,gas_piped_exp_chn,broadcast,broadcast,,USD/GWa,M1,year
R12_FSU,gas_piped_exp_eeu,broadcast,broadcast,,USD/GWa,M1,year
R12_FSU,gas_piped_exp_mea,broadcast,broadcast,,USD/GWa,M1,year
R12_FSU,gas_piped_exp_pao,broadcast,broadcast,,USD/GWa,M1,year
R12_FSU,gas_piped_exp_pas,broadcast,broadcast,,USD/GWa,M1,year
R12_FSU,gas_piped_exp_sas,broadcast,broadcast,,USD/GWa,M1,year
R12_FSU,gas_piped_exp_weu,broadcast,broadcast,,USD/GWa,M1,year
R12_LAM,gas_piped_exp_nam,broadcast,broadcast,,USD/GWa,M1,year
R12_MEA,gas_piped_exp_afr,broadcast,broadcast,,USD/GWa,M1,year
R12_MEA,gas_piped_exp_eeu,broadcast,broadcast,,USD/GWa,M1,year
R12_MEA,gas_piped_exp_fsu,broadcast,broadcast,,USD/GWa,M1,year
R12_MEA,gas_piped_exp_sas,broadcast,broadcast,,USD/GWa,M1,year
R12_MEA,gas_piped_exp_weu,broadcast,broadcast,,USD/GWa,M1,year
R12_NAM,gas_piped_exp_lam,broadcast,broadcast,,USD/GWa,M1,year
R12_PAO,gas_piped_exp_fsu,broadcast,broadcast,,USD/GWa,M1,year
R12_PAS,gas_piped_exp_chn,broadcast,broadcast,,USD/GWa,M1,year
R12_PAS,gas_piped_exp_fsu,broadcast,broadcast,,USD/GWa,M1,year
R12_PAS,gas_piped_exp_pao,broadcast,broadcast,,USD/GWa,M1,year
R12_SAS,gas_piped_exp_fsu,broadcast,broadcast,,USD/GWa,M1,year
R12_SAS,gas_piped_exp_mea,broadcast,broadcast,,USD/GWa,M1,year
R12_SAS,gas_piped_exp_pas,broadcast,broadcast,,USD/GWa,M1,year
R12_WEU,gas_piped_exp_afr,broadcast,broadcast,,USD/GWa,M1,year
R12_WEU,gas_piped_exp_eeu,broadcast,broadcast,,USD/GWa,M1,year
R12_WEU,gas_piped_exp_fsu,broadcast,broadcast,,USD/GWa,M1,year
R12_WEU,gas_piped_exp_mea,broadcast,broadcast,,USD/GWa,M1,year
R12_MEA,gas_piped_imp,broadcast,broadcast,,USD/GWa,M1,year
R12_WEU,gas_piped_imp,broadcast,broadcast,,USD/GWa,M1,year
R12_FSU,gas_piped_imp,broadcast,broadcast,,USD/GWa,M1,year
R12_CHN,gas_piped_imp,broadcast,broadcast,,USD/GWa,M1,year
R12_EEU,gas_piped_imp,broadcast,broadcast,,USD/GWa,M1,year
R12_PAO,gas_piped_imp,broadcast,broadcast,,USD/GWa,M1,year
R12_PAS,gas_piped_imp,broadcast,broadcast,,USD/GWa,M1,year
R12_SAS,gas_piped_imp,broadcast,broadcast,,USD/GWa,M1,year
R12_NAM,gas_piped_imp,broadcast,broadcast,,USD/GWa,M1,year
R12_AFR,gas_piped_imp,broadcast,broadcast,,USD/GWa,M1,year
R12_LAM,gas_piped_imp,broadcast,broadcast,,USD/GWa,M1,year
