node_loc,technology,year_vtg,year_act,mode,node_origin,commodity,level,time,time_origin,value,unit
R12_AFR,LNG_shipped_exp_rcpa,broadcast,broadcast,M1,R12_AFR,LNG,primary,year,year,1.0,GWa
R12_AFR,LNG_shipped_exp_chn,broadcast,broadcast,M1,R12_AFR,LNG,primary,year,year,1.0,GWa
R12_AFR,LNG_shipped_exp_eeu,broadcast,broadcast,M1,R12_AFR,LNG,primary,year,year,1.0,GWa
R12_AFR,LNG_shipped_exp_fsu,broadcast,broadcast,M1,R12_AFR,LNG,primary,year,year,1.0,GWa
R12_AFR,LNG_shipped_exp_lam,broadcast,broadcast,M1,R12_AFR,LNG,primary,year,year,1.0,GWa
R12_AFR,LNG_shipped_exp_mea,broadcast,broadcast,M1,R12_AFR,LNG,primary,year,year,1.0,GWa
R12_AFR,LNG_shipped_exp_nam,broadcast,broadcast,M1,R12_AFR,LNG,primary,year,year,1.0,GWa
R12_AFR,LNG_shipped_exp_pao,broadcast,broadcast,M1,R12_AFR,LNG,primary,year,year,1.0,GWa
R12_AFR,LNG_shipped_exp_pas,broadcast,broadcast,M1,R12_AFR,LNG,primary,year,year,1.0,GWa
R12_AFR,LNG_shipped_exp_sas,broadcast,broadcast,M1,R12_AFR,LNG,primary,year,year,1.0,GWa
R12_AFR,LNG_shipped_exp_weu,broadcast,broadcast,M1,R12_AFR,LNG,primary,year,year,1.0,GWa
R12_RCPA,LNG_shipped_exp_afr,broadcast,broadcast,M1,R12_RCPA,LNG,primary,year,year,1.0,GWa
R12_RCPA,LNG_shipped_exp_chn,broadcast,broadcast,M1,R12_RCPA,LNG,primary,year,year,1.0,GWa
R12_RCPA,LNG_shipped_exp_eeu,broadcast,broadcast,M1,R12_RCPA,LNG,primary,year,year,1.0,GWa
R12_RCPA,LNG_shipped_exp_fsu,broadcast,broadcast,M1,R12_RCPA,LNG,primary,year,year,1.0,GWa
R12_RCPA,LNG_shipped_exp_lam,broadcast,broadcast,M1,R12_RCPA,LNG,primary,year,year,1.0,GWa
R12_RCPA,LNG_shipped_exp_mea,broadcast,broadcast,M1,R12_RCPA,LNG,primary,year,year,1.0,GWa
R12_RCPA,LNG_shipped_exp_nam,broadcast,broadcast,M1,R12_RCPA,LNG,primary,year,year,1.0,GWa
R12_RCPA,LNG_shipped_exp_pao,broadcast,broadcast,M1,R12_RCPA,LNG,primary,year,year,1.0,GWa
R12_RCPA,LNG_shipped_exp_pas,broadcast,broadcast,M1,R12_RCPA,LNG,primary,year,year,1.0,GWa
R12_RCPA,LNG_shipped_exp_sas,broadcast,broadcast,M1,R12_RCPA,LNG,primary,year,year,1.0,GWa
R12_RCPA,LNG_shipped_exp_weu,broadcast,broadcast,M1,R12_RCPA,LNG,primary,year,year,1.0,GWa
R12_CHN,LNG_shipped_exp_afr,broadcast,broadcast,M1,R12_CHN,LNG,primary,year,year,1.0,GWa
R12_CHN,LNG_shipped_exp_rcpa,broadcast,broadcast,M1,R12_CHN,LNG,primary,year,year,1.0,GWa
R12_CHN,LNG_shipped_exp_eeu,broadcast,broadcast,M1,R12_CHN,LNG,primary,year,year,1.0,GWa
R12_CHN,LNG_shipped_exp_fsu,broadcast,broadcast,M1,R12_CHN,LNG,primary,year,year,1.0,GWa
R12_CHN,LNG_shipped_exp_lam,broadcast,broadcast,M1,R12_CHN,LNG,primary,year,year,1.0,GWa
R12_CHN,LNG_shipped_exp_mea,broadcast,broadcast,M1,R12_CHN,LNG,primary,year,year,1.0,GWa
R12_CHN,LNG_shipped_exp_nam,broadcast,broadcast,M1,R12_CHN,LNG,primary,year,year,1.0,GWa
R12_CHN,LNG_shipped_exp_pao,broadcast,broadcast,M1,R12_CHN,LNG,primary,year,year,1.0,GWa
R12_CHN,LNG_shipped_exp_pas,broadcast,broadcast,M1,R12_CHN,LNG,primary,year,year,1.0,GWa
R12_CHN,LNG_shipped_exp_sas,broadcast,broadcast,M1,R12_CHN,LNG,primary,year,year,1.0,GWa
R12_CHN,LNG_shipped_exp_weu,broadcast,broadcast,M1,R12_CHN,LNG,primary,year,year,1.0,GWa
R12_EEU,LNG_shipped_exp_afr,broadcast,broadcast,M1,R12_EEU,LNG,primary,year,year,1.0,GWa
R12_EEU,LNG_shipped_exp_rcpa,broadcast,broadcast,M1,R12_EEU,LNG,primary,year,year,1.0,GWa
R12_EEU,LNG_shipped_exp_chn,broadcast,broadcast,M1,R12_EEU,LNG,primary,year,year,1.0,GWa
R12_EEU,LNG_shipped_exp_fsu,broadcast,broadcast,M1,R12_EEU,LNG,primary,year,year,1.0,GWa
R12_EEU,LNG_shipped_exp_lam,broadcast,broadcast,M1,R12_EEU,LNG,primary,year,year,1.0,GWa
R12_EEU,LNG_shipped_exp_mea,broadcast,broadcast,M1,R12_EEU,LNG,primary,year,year,1.0,GWa
R12_EEU,LNG_shipped_exp_nam,broadcast,broadcast,M1,R12_EEU,LNG,primary,year,year,1.0,GWa
R12_EEU,LNG_shipped_exp_pao,broadcast,broadcast,M1,R12_EEU,LNG,primary,year,year,1.0,GWa
R12_EEU,LNG_shipped_exp_pas,broadcast,broadcast,M1,R12_EEU,LNG,primary,year,year,1.0,GWa
R12_EEU,LNG_shipped_exp_sas,broadcast,broadcast,M1,R12_EEU,LNG,primary,year,year,1.0,GWa
R12_EEU,LNG_shipped_exp_weu,broadcast,broadcast,M1,R12_EEU,LNG,primary,year,year,1.0,GWa
R12_FSU,LNG_shipped_exp_afr,broadcast,broadcast,M1,R12_FSU,LNG,primary,year,year,1.0,GWa
R12_FSU,LNG_shipped_exp_rcpa,broadcast,broadcast,M1,R12_FSU,LNG,primary,year,year,1.0,GWa
R12_FSU,LNG_shipped_exp_chn,broadcast,broadcast,M1,R12_FSU,LNG,primary,year,year,1.0,GWa
R12_FSU,LNG_shipped_exp_eeu,broadcast,broadcast,M1,R12_FSU,LNG,primary,year,year,1.0,GWa
R12_FSU,LNG_shipped_exp_lam,broadcast,broadcast,M1,R12_FSU,LNG,primary,year,year,1.0,GWa
R12_FSU,LNG_shipped_exp_mea,broadcast,broadcast,M1,R12_FSU,LNG,primary,year,year,1.0,GWa
R12_FSU,LNG_shipped_exp_nam,broadcast,broadcast,M1,R12_FSU,LNG,primary,year,year,1.0,GWa
R12_FSU,LNG_shipped_exp_pao,broadcast,broadcast,M1,R12_FSU,LNG,primary,year,year,1.0,GWa
R12_FSU,LNG_shipped_exp_pas,broadcast,broadcast,M1,R12_FSU,LNG,primary,year,year,1.0,GWa
R12_FSU,LNG_shipped_exp_sas,broadcast,broadcast,M1,R12_FSU,LNG,primary,year,year,1.0,GWa
R12_FSU,LNG_shipped_exp_weu,broadcast,broadcast,M1,R12_FSU,LNG,primary,year,year,1.0,GWa
R12_LAM,LNG_shipped_exp_afr,broadcast,broadcast,M1,R12_LAM,LNG,primary,year,year,1.0,GWa
R12_LAM,LNG_shipped_exp_rcpa,broadcast,broadcast,M1,R12_LAM,LNG,primary,year,year,1.0,GWa
