relation,node_rel,year_rel,node_loc,technology,year_act,mode,value,unit
lh2_shipped_imp_to_rcpa,R12_RCPA,broadcast,R12_RCPA,lh2_shipped_imp,broadcast,M1,1,???
lh2_shipped_imp_to_chn,R12_CHN,broadcast,R12_CHN,lh2_shipped_imp,broadcast,M1,1,???
lh2_shipped_imp_to_eeu,R12_EEU,broadcast,R12_EEU,lh2_shipped_imp,broadcast,M1,1,???
lh2_shipped_imp_to_fsu,R12_FSU,broadcast,R12_FSU,lh2_shipped_imp,broadcast,M1,1,???
lh2_shipped_imp_to_lam,R12_LAM,broadcast,R12_LAM,lh2_shipped_imp,broadcast,M1,1,???
lh2_shipped_imp_to_mea,R12_MEA,broadcast,R12_MEA,lh2_shipped_imp,broadcast,M1,1,???
lh2_shipped_imp_to_nam,R12_NAM,broadcast,R12_NAM,lh2_shipped_imp,broadcast,M1,1,???
lh2_shipped_imp_to_pao,R12_PAO,broadcast,R12_PAO,lh2_shipped_imp,broadcast,M1,1,???
lh2_shipped_imp_to_pas,R12_PAS,broadcast,R12_PAS,lh2_shipped_imp,broadcast,M1,1,???
lh2_shipped_imp_to_sas,R12_SAS,broadcast,R12_SAS,lh2_shipped_imp,broadcast,M1,1,???
lh2_shipped_imp_to_weu,R12_WEU,broadcast,R12_WEU,lh2_shipped_imp,broadcast,M1,1,???
lh2_shipped_imp_to_afr,R12_AFR,broadcast,R12_AFR,lh2_shipped_imp,broadcast,M1,1,???
