node,technology,year,value
R12_AFR,2W,2020,360
R12_AFR,AIR,2020,120
R12_AFR,BUS,2020,1740
R12_AFR,LDV,2020,720
R12_AFR,RAIL,2020,60
R12_AFR,2W,2025,355.65421
R12_AFR,AIR,2025,122.95406
R12_AFR,BUS,2025,1745.8389
R12_AFR,LDV,2025,813.07574
R12_AFR,RAIL,2025,107.74612
R12_AFR,2W,2030,368.77319
R12_AFR,AIR,2030,131.76546
R12_AFR,BUS,2030,1818.7264
R12_AFR,LDV,2030,990.64136
R12_AFR,RAIL,2030,166.84264
R12_AFR,2W,2035,407.71927
R12_AFR,AIR,2035,150.10204
R12_AFR,BUS,2035,1986.7068
R12_AFR,LDV,2035,1305.1389
R12_AFR,RAIL,2035,249.99947
R12_AFR,2W,2040,435.54968
R12_AFR,AIR,2040,171.22623
R12_AFR,BUS,2040,2138.4727
R12_AFR,LDV,2040,1681.657
R12_AFR,RAIL,2040,350.96014
R12_AFR,2W,2045,454.06775
R12_AFR,AIR,2045,193.0576
R12_AFR,BUS,2045,2252.0291
R12_AFR,LDV,2045,2144.7642
R12_AFR,RAIL,2045,467.71057
R12_AFR,2W,2050,468.99524
R12_AFR,AIR,2050,218.96542
R12_AFR,BUS,2050,2355.9834
R12_AFR,LDV,2050,2747.0789
R12_AFR,RAIL,2050,607.5188
R12_AFR,2W,2055,470.80688
R12_AFR,AIR,2055,250.02826
R12_AFR,BUS,2055,2407.6853
R12_AFR,LDV,2055,3267.8765
R12_AFR,RAIL,2055,769.27979
R12_AFR,2W,2060,464.98975
R12_AFR,AIR,2060,287.5809
R12_AFR,BUS,2060,2431.5417
R12_AFR,LDV,2060,3870.1621
R12_AFR,RAIL,2060,956.82587
R12_AFR,2W,2070,426.13507
R12_AFR,AIR,2070,387.75168
R12_AFR,BUS,2070,2375.3413
R12_AFR,LDV,2070,5313.7598
R12_AFR,RAIL,2070,1406.6548
R12_AFR,2W,2080,353.43466
R12_AFR,AIR,2080,530.96124
R12_AFR,BUS,2080,2179.3633
R12_AFR,LDV,2080,6995.4009
R12_AFR,RAIL,2080,1932.4723
R12_AFR,2W,2090,263.4325
R12_AFR,AIR,2090,730.11517
R12_AFR,BUS,2090,1892.049
R12_AFR,LDV,2090,8769.0127
R12_AFR,RAIL,2090,2496.7605
R12_AFR,2W,2100,175.34604
R12_AFR,AIR,2100,986.3125
R12_AFR,BUS,2100,1579.5273
R12_AFR,LDV,2100,10482.472
R12_AFR,RAIL,2100,3071.031
R12_AFR,2W,2110,98.942726
R12_AFR,AIR,2110,1169.2122
R12_AFR,BUS,2110,1276.6897
R12_AFR,LDV,2110,11731.461
R12_AFR,RAIL,2110,3574.1914
R12_CHN,2W,2020,158
R12_CHN,AIR,2020,711
R12_CHN,BUS,2020,1501
R12_CHN,LDV,2020,3950
R12_CHN,RAIL,2020,1580
R12_CHN,2W,2025,163.76773
R12_CHN,AIR,2025,995.12415
R12_CHN,BUS,2025,1479.293
R12_CHN,LDV,2025,4769.3442
R12_CHN,RAIL,2025,1787.6921
R12_CHN,2W,2030,167.91823
R12_CHN,AIR,2030,1310.9731
R12_CHN,BUS,2030,1465.6432
R12_CHN,LDV,2030,5784.8584
R12_CHN,RAIL,2030,1993.229
R12_CHN,2W,2035,174.37444
R12_CHN,AIR,2035,1652.3508
R12_CHN,BUS,2035,1474.9095
R12_CHN,LDV,2035,6982.2163
R12_CHN,RAIL,2035,2235.0303
R12_CHN,2W,2040,170.024
R12_CHN,AIR,2040,1919.22
R12_CHN,BUS,2040,1457.9856
R12_CHN,LDV,2040,7913.2407
R12_CHN,RAIL,2040,2375.6211
R12_CHN,2W,2045,165.15108
R12_CHN,AIR,2045,2193.9316
R12_CHN,BUS,2045,1445.8286
R12_CHN,LDV,2045,8943.2822
R12_CHN,RAIL,2045,2516.2705
R12_CHN,2W,2050,160.26414
R12_CHN,AIR,2050,2475.635
R12_CHN,BUS,2050,1439.201
R12_CHN,LDV,2050,10076.312
R12_CHN,RAIL,2050,2663.1455
R12_CHN,2W,2055,154.41689
R12_CHN,AIR,2055,2746.6904
R12_CHN,BUS,2055,1426.965
R12_CHN,LDV,2055,10632.548
R12_CHN,RAIL,2055,2806.5635
R12_CHN,2W,2060,149.05775
R12_CHN,AIR,2060,3028.5193
R12_CHN,BUS,2060,1419.6565
R12_CHN,LDV,2060,11210.791
R12_CHN,RAIL,2060,2962.2505
R12_CHN,2W,2070,139.91823
R12_CHN,AIR,2070,3506.2324
R12_CHN,BUS,2070,1420.6494
R12_CHN,LDV,2070,12381.363
R12_CHN,RAIL,2070,3306.3696
R12_CHN,2W,2080,132.13086
R12_CHN,AIR,2080,3723.7427
R12_CHN,BUS,2080,1431.6083
R12_CHN,LDV,2080,13486.022
R12_CHN,RAIL,2080,3674.0876
R12_CHN,2W,2090,125.37991
R12_CHN,AIR,2090,3764.5549
R12_CHN,BUS,2090,1444.629
R12_CHN,LDV,2090,14615.258
R12_CHN,RAIL,2090,4075.054
R12_CHN,2W,2100,119.2141
R12_CHN,AIR,2100,3647.5339
R12_CHN,BUS,2100,1453.1947
R12_CHN,LDV,2100,15763.408
R12_CHN,RAIL,2100,4503.4736
R12_CHN,2W,2110,113.98442
R12_CHN,AIR,2110,3457.0125
R12_CHN,BUS,2110,1460.9867
R12_CHN,LDV,2110,17058.285
R12_CHN,RAIL,2110,4990.1401
R12_EEU,2W,2020,136.08247
R12_EEU,AIR,2020,136.08247
R12_EEU,BUS,2020,4762.8867
R12_EEU,LDV,2020,6259.7939
R12_EEU,RAIL,2020,1905.1547
R12_EEU,2W,2025,142.48674
R12_EEU,AIR,2025,282.50751
R12_EEU,BUS,2025,4617.9932
R12_EEU,LDV,2025,7376.0498
R12_EEU,RAIL,2025,2179.4121
R12_EEU,2W,2030,151.18088
R12_EEU,AIR,2030,499.68399
R12_EEU,BUS,2030,4538.6235
R12_EEU,LDV,2030,8837.7695
R12_EEU,RAIL,2030,2499.6357
R12_EEU,2W,2035,163.19093
R12_EEU,AIR,2035,763.18817
R12_EEU,BUS,2035,4519.147
R12_EEU,LDV,2035,10367.022
R12_EEU,RAIL,2035,2876.0813
R12_EEU,2W,2040,164.58549
R12_EEU,AIR,2040,1033.8915
R12_EEU,BUS,2040,4374.0166
R12_EEU,LDV,2040,11661.223
R12_EEU,RAIL,2040,3121.8252
