MODEL,SCENARIO,YEAR,EXPORTER,IMPORTER,MESSAGETEC,COMMODITY,LEVEL,UNITS,PAIR
NP_SSP2_6.2,pipelines_LNG,2025,R12_AFR,R12_LNG,LNG_tanker_LNG,LNG,17508.836046166136,GWa,R12_AFR-R12_LNG
NP_SSP2_6.2,pipelines_LNG,2030,R12_AFR,R12_LNG,LNG_tanker_LNG,LNG,14.5855392,GWa,R12_AFR-R12_LNG
NP_SSP2_6.2,pipelines_LNG,2035,R12_AFR,R12_LNG,LNG_tanker_LNG,LNG,12.7183536,GWa,R12_AFR-R12_LNG
NP_SSP2_6.2,pipelines_LNG,2040,R12_AFR,R12_LNG,LNG_tanker_LNG,LNG,9.3961472,GWa,R12_AFR-R12_LNG
NP_SSP2_6.2,pipelines_LNG,2045,R12_AFR,R12_LNG,LNG_tanker_LNG,LNG,0.0,GWa,R12_AFR-R12_LNG
NP_SSP2_6.2,pipelines_LNG,2050,R12_AFR,R12_LNG,LNG_tanker_LNG,LNG,0.0,GWa,R12_AFR-R12_LNG
NP_SSP2_6.2,pipelines_LNG,2055,R12_AFR,R12_LNG,LNG_tanker_LNG,LNG,0.0,GWa,R12_AFR-R12_LNG
NP_SSP2_6.2,pipelines_LNG,2060,R12_AFR,R12_LNG,LNG_tanker_LNG,LNG,0.0,GWa,R12_AFR-R12_LNG
NP_SSP2_6.2,pipelines_LNG,2070,R12_AFR,R12_LNG,LNG_tanker_LNG,LNG,0.0,GWa,R12_AFR-R12_LNG
NP_SSP2_6.2,pipelines_LNG,2080,R12_AFR,R12_LNG,LNG_tanker_LNG,LNG,0.0,GWa,R12_AFR-R12_LNG
NP_SSP2_6.2,pipelines_LNG,2090,R12_AFR,R12_LNG,LNG_tanker_LNG,LNG,0.0,GWa,R12_AFR-R12_LNG
NP_SSP2_6.2,pipelines_LNG,2100,R12_AFR,R12_LNG,LNG_tanker_LNG,LNG,0.0,GWa,R12_AFR-R12_LNG
NP_SSP2_6.2,pipelines_LNG,2110,R12_AFR,R12_LNG,LNG_tanker_LNG,LNG,148.81130824212846,GWa,R12_AFR-R12_LNG
NP_SSP2_6.2,pipelines_LNG,2030,R12_AFR,R12_FOIL,LNG_tanker_foil,fueloil,3.6463848,GWa,R12_AFR-R12_FOIL
NP_SSP2_6.2,pipelines_LNG,2035,R12_AFR,R12_FOIL,LNG_tanker_foil,fueloil,3.1795884,GWa,R12_AFR-R12_FOIL
