# Activity (driving distance) per light-duty vehicle
#
# Sources:
#
# - Values commented "TH 2024-04-11": calculation by T. Hara, shared at
#   https://iiasa-ece.slack.com/archives/CCFHDNA6P/p1712831476181449
# - R12_AFR, R12_FSU, R12_NAM, R12_PAO, R12_PAS, R12_SAS: see the documentation
#   at https://docs.messageix.org/projects/models/en/latest/transport/input.html
# - All others:
#
#   - Duplicate of R11/ldv-activity.csv; see comments there.
#   - R11_CPA value repeated for R12_RCPA and R12_CHN.
# - scenario=LED: SharePoint ECE.prog > Documents > Transport > LED Scenario >
#   input files > ldv-act per veh-LDV.xlsx as of 2025-03-18.
#
# Unit: kilometre / year
#
scenario, node,     year, value
*,        R12_AFR,  2020, 15500
*,        R12_AFR,  2110, 22000
*,        R12_CHN,  2020, 15000  
*,        R12_CHN,  2110, 22000  
*,        R12_EEU,  2020,  9000  
*,        R12_EEU,  2110, 22000 
*,        R12_FSU,  2020, 13000 
*,        R12_FSU,  2110, 22000 
*,        R12_LAM,  2020, 13500
*,        R12_LAM,  2110, 22000
*,        R12_MEA,  2020, 14500
*,        R12_MEA,  2110, 22000
*,        R12_NAM,  2020, 18400
*,        R12_NAM,  2110, 22000
*,        R12_PAO,  2020,  9000 
*,        R12_PAO,  2110, 22000  
*,        R12_PAS,  2020, 13000  
*,        R12_PAS,  2110, 22000  
*,        R12_RCPA, 2020, 12000  
*,        R12_RCPA, 2110, 22000  
*,        R12_SAS,  2020, 12000  
*,        R12_SAS,  2110, 22000  
*,        R12_WEU,  2020, 11700
*,        R12_WEU,  2110, 22000


LED,      R12_AFR,  2020, 15500
LED,      R12_AFR,  2050, 15113
LED,      R12_AFR,  2110, 15113
LED,      R12_CHN,  2020, 15000
LED,      R12_CHN,  2050, 15113
LED,      R12_CHN,  2110, 15113
LED,      R12_EEU,  2020, 9000
LED,      R12_EEU,  2050, 14087
LED,      R12_EEU,  2110, 14087
LED,      R12_FSU,  2020, 13000
LED,      R12_FSU,  2050, 14087
LED,      R12_FSU,  2110, 14087
LED,      R12_LAM,  2020, 13500
LED,      R12_LAM,  2050, 15113
LED,      R12_LAM,  2110, 15113
LED,      R12_MEA,  2020, 14500
LED,      R12_MEA,  2050, 15113
LED,      R12_MEA,  2110, 15113
LED,      R12_NAM,  2020, 18400
LED,      R12_NAM,  2050, 14087
LED,      R12_NAM,  2110, 14087
LED,      R12_PAO,  2020, 9000
LED,      R12_PAO,  2050, 14087
LED,      R12_PAO,  2110, 14087
LED,      R12_PAS,  2020, 13000
LED,      R12_PAS,  2050, 15113
LED,      R12_PAS,  2110, 15113
LED,      R12_RCPA, 2020, 12000
LED,      R12_RCPA, 2050, 15113
LED,      R12_RCPA, 2110, 15113
LED,      R12_SAS,  2020, 12000
LED,      R12_SAS,  2050, 15113
LED,      R12_SAS,  2110, 15113
LED,      R12_WEU,  2020, 11700
LED,      R12_WEU,  2050, 14087
LED,      R12_WEU,  2110, 14087
