node_origin,node_loc,technology,year_vtg,year_act,mode,commodity,level,value,time,time_origin,unit
R12_AFR,R12_AFR,gas_piped_exp_mea,broadcast,broadcast,M1,gas,primary,1,year,year,GWa
R12_AFR,R12_AFR,gas_piped_exp_weu,broadcast,broadcast,M1,gas,primary,1,year,year,GWa
R12_CHN,R12_CHN,gas_piped_exp_fsu,broadcast,broadcast,M1,gas,primary,1,year,year,GWa
R12_EEU,R12_EEU,gas_piped_exp_fsu,broadcast,broadcast,M1,gas,primary,1,year,year,GWa
R12_EEU,R12_EEU,gas_piped_exp_weu,broadcast,broadcast,M1,gas,primary,1,year,year,GWa
R12_FSU,R12_FSU,gas_piped_exp_chn,broadcast,broadcast,M1,gas,primary,1,year,year,GWa
R12_FSU,R12_FSU,gas_piped_exp_eeu,broadcast,broadcast,M1,gas,primary,1,year,year,GWa
R12_FSU,R12_FSU,gas_piped_exp_mea,broadcast,broadcast,M1,gas,primary,1,year,year,GWa
R12_FSU,R12_FSU,gas_piped_exp_pao,broadcast,broadcast,M1,gas,primary,1,year,year,GWa
R12_FSU,R12_FSU,gas_piped_exp_pas,broadcast,broadcast,M1,gas,primary,1,year,year,GWa
R12_FSU,R12_FSU,gas_piped_exp_sas,broadcast,broadcast,M1,gas,primary,1,year,year,GWa
R12_FSU,R12_FSU,gas_piped_exp_weu,broadcast,broadcast,M1,gas,primary,1,year,year,GWa
R12_LAM,R12_LAM,gas_piped_exp_nam,broadcast,broadcast,M1,gas,primary,1,year,year,GWa
R12_MEA,R12_MEA,gas_piped_exp_afr,broadcast,broadcast,M1,gas,primary,1,year,year,GWa
R12_MEA,R12_MEA,gas_piped_exp_eeu,broadcast,broadcast,M1,gas,primary,1,year,year,GWa
R12_MEA,R12_MEA,gas_piped_exp_fsu,broadcast,broadcast,M1,gas,primary,1,year,year,GWa
R12_MEA,R12_MEA,gas_piped_exp_sas,broadcast,broadcast,M1,gas,primary,1,year,year,GWa
R12_MEA,R12_MEA,gas_piped_exp_weu,broadcast,broadcast,M1,gas,primary,1,year,year,GWa
R12_NAM,R12_NAM,gas_piped_exp_lam,broadcast,broadcast,M1,gas,primary,1,year,year,GWa
R12_PAO,R12_PAO,gas_piped_exp_fsu,broadcast,broadcast,M1,gas,primary,1,year,year,GWa
R12_PAS,R12_PAS,gas_piped_exp_chn,broadcast,broadcast,M1,gas,primary,1,year,year,GWa
R12_PAS,R12_PAS,gas_piped_exp_fsu,broadcast,broadcast,M1,gas,primary,1,year,year,GWa
R12_PAS,R12_PAS,gas_piped_exp_pao,broadcast,broadcast,M1,gas,primary,1,year,year,GWa
R12_SAS,R12_SAS,gas_piped_exp_fsu,broadcast,broadcast,M1,gas,primary,1,year,year,GWa
R12_SAS,R12_SAS,gas_piped_exp_mea,broadcast,broadcast,M1,gas,primary,1,year,year,GWa
R12_SAS,R12_SAS,gas_piped_exp_pas,broadcast,broadcast,M1,gas,primary,1,year,year,GWa
R12_WEU,R12_WEU,gas_piped_exp_afr,broadcast,broadcast,M1,gas,primary,1,year,year,GWa
R12_WEU,R12_WEU,gas_piped_exp_eeu,broadcast,broadcast,M1,gas,primary,1,year,year,GWa
R12_WEU,R12_WEU,gas_piped_exp_fsu,broadcast,broadcast,M1,gas,primary,1,year,year,GWa
R12_WEU,R12_WEU,gas_piped_exp_mea,broadcast,broadcast,M1,gas,primary,1,year,year,GWa
R12_MEA,R12_MEA,gas_piped_imp,broadcast,broadcast,M1,gas,piped,1,year,year,GWa
R12_WEU,R12_WEU,gas_piped_imp,broadcast,broadcast,M1,gas,piped,1,year,year,GWa
R12_FSU,R12_FSU,gas_piped_imp,broadcast,broadcast,M1,gas,piped,1,year,year,GWa
R12_CHN,R12_CHN,gas_piped_imp,broadcast,broadcast,M1,gas,piped,1,year,year,GWa
R12_EEU,R12_EEU,gas_piped_imp,broadcast,broadcast,M1,gas,piped,1,year,year,GWa
R12_PAO,R12_PAO,gas_piped_imp,broadcast,broadcast,M1,gas,piped,1,year,year,GWa
R12_PAS,R12_PAS,gas_piped_imp,broadcast,broadcast,M1,gas,piped,1,year,year,GWa
R12_SAS,R12_SAS,gas_piped_imp,broadcast,broadcast,M1,gas,piped,1,year,year,GWa
R12_NAM,R12_NAM,gas_piped_imp,broadcast,broadcast,M1,gas,piped,1,year,year,GWa
R12_AFR,R12_AFR,gas_piped_imp,broadcast,broadcast,M1,gas,piped,1,year,year,GWa
R12_LAM,R12_LAM,gas_piped_imp,broadcast,broadcast,M1,gas,piped,1,year,year,GWa
