MODEL,SCENARIO,YEAR,IMPORTER,MESSAGETEC,LEVEL,UNITS,COMMODITY,PULL DATE
NP_SSP2_6.2,base_scenario,2030,R12_AFR,foil_imp,0.0,GWa,Fuel Oil (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2035,R12_AFR,foil_imp,0.0,GWa,Fuel Oil (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2040,R12_AFR,foil_imp,0.0,GWa,Fuel Oil (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2045,R12_AFR,foil_imp,0.0,GWa,Fuel Oil (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2050,R12_AFR,foil_imp,0.0,GWa,Fuel Oil (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2055,R12_AFR,foil_imp,0.0,GWa,Fuel Oil (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2060,R12_AFR,foil_imp,0.0,GWa,Fuel Oil (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2070,R12_AFR,foil_imp,0.0,GWa,Fuel Oil (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2080,R12_AFR,foil_imp,0.0,GWa,Fuel Oil (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2090,R12_AFR,foil_imp,0.0,GWa,Fuel Oil (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2100,R12_AFR,foil_imp,0.0,GWa,Fuel Oil (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2110,R12_AFR,foil_imp,0.0,GWa,Fuel Oil (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,1990,R12_CHN,foil_imp,2.9,GWa,Fuel Oil (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,1995,R12_CHN,foil_imp,12.1,GWa,Fuel Oil (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2000,R12_CHN,foil_imp,22.9,GWa,Fuel Oil (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2005,R12_CHN,foil_imp,39.5,GWa,Fuel Oil (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2010,R12_CHN,foil_imp,47.6,GWa,Fuel Oil (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2015,R12_CHN,foil_imp,33.2,GWa,Fuel Oil (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2020,R12_CHN,foil_imp,25.3,GWa,Fuel Oil (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2025,R12_CHN,foil_imp,10.5,GWa,Fuel Oil (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2030,R12_CHN,foil_imp,0.8,GWa,Fuel Oil (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2035,R12_CHN,foil_imp,0.0,GWa,Fuel Oil (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2040,R12_CHN,foil_imp,1.0,GWa,Fuel Oil (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2045,R12_CHN,foil_imp,13.8,GWa,Fuel Oil (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2050,R12_CHN,foil_imp,25.8,GWa,Fuel Oil (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2055,R12_CHN,foil_imp,33.7,GWa,Fuel Oil (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2060,R12_CHN,foil_imp,36.7,GWa,Fuel Oil (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2070,R12_CHN,foil_imp,47.6,GWa,Fuel Oil (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2080,R12_CHN,foil_imp,58.1,GWa,Fuel Oil (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2090,R12_CHN,foil_imp,71.4,GWa,Fuel Oil (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2100,R12_CHN,foil_imp,99.0,GWa,Fuel Oil (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2110,R12_CHN,foil_imp,100.1,GWa,Fuel Oil (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,1990,R12_EEU,foil_imp,4.9,GWa,Fuel Oil (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,1995,R12_EEU,foil_imp,5.2,GWa,Fuel Oil (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2020,R12_EEU,foil_imp,3.6,GWa,Fuel Oil (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2025,R12_EEU,foil_imp,1.9,GWa,Fuel Oil (GWa),2025-10-13
