node_loc,technology,year_vtg,value,unit
R12_AFR,LNG_tanker_LNG,broadcast,40,y
R12_RCPA,LNG_tanker_LNG,broadcast,40,y
R12_CHN,LNG_tanker_LNG,broadcast,40,y
R12_EEU,LNG_tanker_LNG,broadcast,40,y
R12_FSU,LNG_tanker_LNG,broadcast,40,y
R12_LAM,LNG_tanker_LNG,broadcast,40,y
R12_MEA,LNG_tanker_LNG,broadcast,40,y
R12_NAM,LNG_tanker_LNG,broadcast,40,y
R12_PAO,LNG_tanker_LNG,broadcast,40,y
R12_PAS,LNG_tanker_LNG,broadcast,40,y
R12_SAS,LNG_tanker_LNG,broadcast,40,y
R12_WEU,LNG_tanker_LNG,broadcast,40,y
R12_AFR,bunker_global_LNG,broadcast,20,y
R12_RCPA,bunker_global_LNG,broadcast,20,y
R12_CHN,bunker_global_LNG,broadcast,20,y
R12_EEU,bunker_global_LNG,broadcast,20,y
R12_FSU,bunker_global_LNG,broadcast,20,y
R12_LAM,bunker_global_LNG,broadcast,20,y
R12_MEA,bunker_global_LNG,broadcast,20,y
R12_NAM,bunker_global_LNG,broadcast,20,y
R12_PAO,bunker_global_LNG,broadcast,20,y
R12_PAS,bunker_global_LNG,broadcast,20,y
R12_SAS,bunker_global_LNG,broadcast,20,y
R12_WEU,bunker_global_LNG,broadcast,20,y
R12_AFR,LNG_tanker_foil,broadcast,20,y
R12_RCPA,LNG_tanker_foil,broadcast,20,y
R12_CHN,LNG_tanker_foil,broadcast,20,y
R12_EEU,LNG_tanker_foil,broadcast,20,y
R12_FSU,LNG_tanker_foil,broadcast,20,y
R12_LAM,LNG_tanker_foil,broadcast,20,y
R12_MEA,LNG_tanker_foil,broadcast,20,y
R12_NAM,LNG_tanker_foil,broadcast,20,y
R12_PAO,LNG_tanker_foil,broadcast,20,y
R12_PAS,LNG_tanker_foil,broadcast,20,y
R12_SAS,LNG_tanker_foil,broadcast,20,y
R12_WEU,LNG_tanker_foil,broadcast,20,y
R12_AFR,bunker_global_foil,broadcast,20,y
R12_RCPA,bunker_global_foil,broadcast,20,y
R12_CHN,bunker_global_foil,broadcast,20,y
R12_EEU,bunker_global_foil,broadcast,20,y
R12_FSU,bunker_global_foil,broadcast,20,y
R12_LAM,bunker_global_foil,broadcast,20,y
R12_MEA,bunker_global_foil,broadcast,20,y
R12_NAM,bunker_global_foil,broadcast,20,y
R12_PAO,bunker_global_foil,broadcast,20,y
R12_PAS,bunker_global_foil,broadcast,20,y
R12_SAS,bunker_global_foil,broadcast,20,y
R12_WEU,bunker_global_foil,broadcast,20,y
