,model,region,unit,year,variable,SSP2,SSP2_FSU_EUR_2040,SSP2_FSU_EUR_2110,SSP2_FSU_EUR_NAM_PAO_2110,SSP2_hhi_HC_imports,SSP2_hhi_HC_imports_FSU_EUR_2110,SSP2_hhi_HC_supply,SSP2_hhi_WS_l90p_imports,SSP2_hhi_WS_l90p_supply,SSP2_hhi_WS_l90p_supply_FSU_EUR_2110,SSP2_nopcosts,SSP_SSP2_v6.2
0,alps_hhi,Piped Gas (Base)|,EJ/yr,1990,Exports|Piped Gas,,,,,,,,,,,,-10.071933136
1,alps_hhi,Piped Gas (Base)|,EJ/yr,1995,Exports|Piped Gas,,,,,,,,,,,,-10.839049016
2,alps_hhi,Piped Gas (Base)|,EJ/yr,2000,Exports|Piped Gas,,,,,,,,,,,,-13.112742384
3,alps_hhi,Piped Gas (Base)|,EJ/yr,2005,Exports|Piped Gas,,,,,,,,,,,,-16.767730051999997
4,alps_hhi,Piped Gas (Base)|,EJ/yr,2010,Exports|Piped Gas,,,,,,,,,,,,-15.64014982
5,alps_hhi,Piped Gas (Base)|,EJ/yr,2015,Exports|Piped Gas,,,,,,,,,,,,-19.61545142
6,alps_hhi,Piped Gas (Base)|,EJ/yr,2020,Exports|Piped Gas,,,,,,,,,,,,-18.81658845219529
7,alps_hhi,Piped Gas (Base)|,EJ/yr,2025,Exports|Piped Gas,,,,,,,,,,,,-33.373570292505576
8,alps_hhi,Piped Gas (Base)|,EJ/yr,2030,Exports|Piped Gas,,,,,,,,,,,,-38.70376630428853
9,alps_hhi,Piped Gas (Base)|,EJ/yr,2035,Exports|Piped Gas,,,,,,,,,,,,-46.33539164128481
10,alps_hhi,Piped Gas (Base)|,EJ/yr,2040,Exports|Piped Gas,,,,,,,,,,,,-54.626033968576735
11,alps_hhi,Piped Gas (Base)|,EJ/yr,2045,Exports|Piped Gas,,,,,,,,,,,,-64.25357989613495
12,alps_hhi,Piped Gas (Base)|,EJ/yr,2050,Exports|Piped Gas,,,,,,,,,,,,-78.17578984996713
13,alps_hhi,Piped Gas (Base)|,EJ/yr,2055,Exports|Piped Gas,,,,,,,,,,,,-90.8100197102224
14,alps_hhi,Piped Gas (Base)|,EJ/yr,2060,Exports|Piped Gas,,,,,,,,,,,,-93.24695673247108
15,alps_hhi,Piped Gas (Base)|,EJ/yr,2070,Exports|Piped Gas,,,,,,,,,,,,-114.9469825873355
16,alps_hhi,Piped Gas (Base)|,EJ/yr,2080,Exports|Piped Gas,,,,,,,,,,,,-154.8169187051372
17,alps_hhi,Piped Gas (Base)|,EJ/yr,2090,Exports|Piped Gas,,,,,,,,,,,,-156.79504505736907
18,alps_hhi,Piped Gas (Base)|,EJ/yr,2100,Exports|Piped Gas,,,,,,,,,,,,-136.92816313899812
19,alps_hhi,Piped Gas (Base)|,EJ/yr,2110,Exports|Piped Gas,,,,,,,,,,,,-142.77513969652384
20,alps_hhi,R12_AFR,EJ/yr,1990,Domestic|Gas Extraction,0.4445105756811011,0.4445105756811011,0.4445105756811011,0.4445105756811011,0.4445105756811011,0.4445105756811011,,0.4445105756811011,,,0.4445105756811011,0.4445105756811011
21,alps_hhi,R12_AFR,EJ/yr,1990,Domestic|Gas Extraction (Aggregate),,,,,,,0.0,,0.0,0.0,,
22,alps_hhi,R12_AFR,EJ/yr,1995,Domestic|Gas Extraction,0.5671349500621641,0.5671349500621641,0.5671349500621641,0.5671349500621641,0.5671349500621641,0.5671349500621641,,0.5671349500621641,,,0.5671349500621641,0.5671349500621641
23,alps_hhi,R12_AFR,EJ/yr,1995,Domestic|Gas Extraction (Aggregate),,,,,,,0.0,,0.0,0.0,,
24,alps_hhi,R12_AFR,EJ/yr,1995,Domestic|Hydrogen Injection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,alps_hhi,R12_AFR,EJ/yr,2000,Domestic|Gas Extraction,1.1252363133570145,1.1252363133570145,1.1252363133570145,1.1252363133570145,1.1252363133570145,1.1252363133570145,,1.1252363133570145,,,1.1252363133570145,1.1252363133570145
26,alps_hhi,R12_AFR,EJ/yr,2000,Domestic|Gas Extraction (Aggregate),,,,,,,0.0,,0.0,0.0,,
27,alps_hhi,R12_AFR,EJ/yr,2000,Domestic|Hydrogen Injection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,alps_hhi,R12_AFR,EJ/yr,2000,Piped Gas (Base)|,,,,,,,,,,,,0.0
29,alps_hhi,R12_AFR,EJ/yr,2005,Domestic|Gas Extraction,2.2412643839563047,2.2412643839563047,2.2412643839563047,2.2412643839563047,2.2412643839563047,2.2412643839563047,,2.2412643839563047,,,2.2412643839563047,2.2412643839563047
30,alps_hhi,R12_AFR,EJ/yr,2005,Domestic|Gas Extraction (Aggregate),,,,,,,0.0,,0.0,0.0,,
31,alps_hhi,R12_AFR,EJ/yr,2005,Domestic|Hydrogen Injection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,alps_hhi,R12_AFR,EJ/yr,2005,Piped Gas (Base)|,,,,,,,,,,,,0.0
33,alps_hhi,R12_AFR,EJ/yr,2010,Domestic|Coal Gasification,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,alps_hhi,R12_AFR,EJ/yr,2010,Domestic|Gas Extraction,3.2741167393150565,3.2741167393150565,3.2741167393150565,3.2741167393150565,3.2741167393150565,3.2741167393150565,,3.2741167393150565,,,3.2741167393150565,3.2741167393150565
35,alps_hhi,R12_AFR,EJ/yr,2010,Domestic|Gas Extraction (Aggregate),,,,,,,0.0,,0.0,0.0,,
36,alps_hhi,R12_AFR,EJ/yr,2010,Domestic|Hydrogen Injection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,alps_hhi,R12_AFR,EJ/yr,2010,Domestic|Synthetic Gas from Biomass,0.000523564,0.000523564,0.000523564,0.000523564,0.000523564,0.000523564,0.000523564,0.000523564,0.000523564,0.000523564,0.000523564,0.000523564
38,alps_hhi,R12_AFR,EJ/yr,2010,Exports|LNG,-1.0523037160185598,-1.0523037160185598,-1.0523037160185598,-1.0523037160185598,-1.0523037160185598,-1.0523037160185598,-1.0523037160185598,-1.0523037160185598,-1.0523037160185598,-1.0523037160185598,-1.0523037160185598,
39,alps_hhi,R12_AFR,EJ/yr,2010,Exports|Piped Gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
40,alps_hhi,R12_AFR,EJ/yr,2010,Piped Gas (Base)|,,,,,,,,,,,,0.0
41,alps_hhi,R12_AFR,EJ/yr,2010,Piped Gas|R12_MEA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
42,alps_hhi,R12_AFR,EJ/yr,2010,Piped Gas|R12_WEU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
43,alps_hhi,R12_AFR,EJ/yr,2010,Shipped LNG|R12_CHN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
44,alps_hhi,R12_AFR,EJ/yr,2010,Shipped LNG|R12_EEU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
45,alps_hhi,R12_AFR,EJ/yr,2010,Shipped LNG|R12_FSU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
46,alps_hhi,R12_AFR,EJ/yr,2010,Shipped LNG|R12_LAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
47,alps_hhi,R12_AFR,EJ/yr,2010,Shipped LNG|R12_MEA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
48,alps_hhi,R12_AFR,EJ/yr,2010,Shipped LNG|R12_NAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
49,alps_hhi,R12_AFR,EJ/yr,2010,Shipped LNG|R12_PAO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
50,alps_hhi,R12_AFR,EJ/yr,2010,Shipped LNG|R12_PAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
51,alps_hhi,R12_AFR,EJ/yr,2010,Shipped LNG|R12_RCPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
52,alps_hhi,R12_AFR,EJ/yr,2010,Shipped LNG|R12_SAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
53,alps_hhi,R12_AFR,EJ/yr,2010,Shipped LNG|R12_WEU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
54,alps_hhi,R12_AFR,EJ/yr,2015,Domestic|Coal Gasification,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,alps_hhi,R12_AFR,EJ/yr,2015,Domestic|Gas Extraction,4.345727713401282,4.345727713401282,4.345727713401282,4.345727713401282,4.345727713401282,4.345727713401282,,4.345727713401282,,,4.345727713401282,4.345727713401282
56,alps_hhi,R12_AFR,EJ/yr,2015,Domestic|Gas Extraction (Aggregate),,,,,,,0.0,,0.0,0.0,,
57,alps_hhi,R12_AFR,EJ/yr,2015,Domestic|Hydrogen Injection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,alps_hhi,R12_AFR,EJ/yr,2015,Domestic|Synthetic Gas from Biomass,0.00444714,0.00444714,0.00444714,0.00444714,0.00444714,0.00444714,0.00444714,0.00444714,0.00444714,0.00444714,0.00444714,0.00444714
59,alps_hhi,R12_AFR,EJ/yr,2015,Exports|LNG,-1.1735445327347198,-1.1735445327347198,-1.1735445327347198,-1.1735445327347198,-1.1735445327347198,-1.1735445327347198,-1.1735445327347198,-1.1735445327347198,-1.1735445327347198,-1.1735445327347198,-1.1735445327347198,
60,alps_hhi,R12_AFR,EJ/yr,2015,Exports|Piped Gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
61,alps_hhi,R12_AFR,EJ/yr,2015,Piped Gas (Base)|,,,,,,,,,,,,0.0
