Node1,Port1,Node2,Port2,Distance_km
R12_AFR,Bonny Terminal (Nigeria),R12_RCPA,PV Gas Port (Vietnam),16313.22
R12_AFR,Bonny Terminal (Nigeria),R12_CHN,Guangdong Dapeng (China),17482.84
R12_AFR,Bonny Terminal (Nigeria),R12_EEU,Swinoujscie (Poland),9812.84
R12_AFR,Bonny Terminal (Nigeria),R12_FSU,Sabetta/Yamal LNG (Russia),13117.95
R12_AFR,Bonny Terminal (Nigeria),R12_LAM,Point Fortin (Trinidad and Tobago),8314.78
R12_AFR,Bonny Terminal (Nigeria),R12_MEA,Ras Laffan (Qatar),13917.3
R12_AFR,Bonny Terminal (Nigeria),R12_NAM,Sabine Pass (USA),11882.65
R12_AFR,Bonny Terminal (Nigeria),R12_PAO,Sodegaura LNG Termina- Chiba (Japan),20339.32
R12_AFR,Bonny Terminal (Nigeria),R12_PAS,Bintulu LNG (Malaysia),15829.69
R12_AFR,Bonny Terminal (Nigeria),R12_SAS,Dahej LNG Terminal (India),13556.59
R12_AFR,Bonny Terminal (Nigeria),R12_WEU,Port of Rotterdam (Netherlands),8539.77
R12_RCPA,PV Gas Port (Vietnam),R12_CHN,Guangdong Dapeng (China),1714.53
R12_RCPA,PV Gas Port (Vietnam),R12_EEU,Swinoujscie (Poland),18061.19
R12_RCPA,PV Gas Port (Vietnam),R12_FSU,Sabetta/Yamal LNG (Russia),14024.76
R12_RCPA,PV Gas Port (Vietnam),R12_LAM,Point Fortin (Trinidad and Tobago),20663.49
R12_RCPA,PV Gas Port (Vietnam),R12_MEA,Ras Laffan (Qatar),8118.68
R12_RCPA,PV Gas Port (Vietnam),R12_NAM,Sabine Pass (USA),21740.0
R12_RCPA,PV Gas Port (Vietnam),R12_PAO,Sodegaura LNG Termina- Chiba (Japan),4770.53
R12_RCPA,PV Gas Port (Vietnam),R12_PAS,Bintulu LNG (Malaysia),1952.85
R12_RCPA,PV Gas Port (Vietnam),R12_SAS,Dahej LNG Terminal (India),6221.76
R12_RCPA,PV Gas Port (Vietnam),R12_WEU,Port of Rotterdam (Netherlands),16788.12
R12_CHN,Guangdong Dapeng (China),R12_EEU,Swinoujscie (Poland),16893.83
R12_CHN,Guangdong Dapeng (China),R12_FSU,Sabetta/Yamal LNG (Russia),12548.81
R12_CHN,Guangdong Dapeng (China),R12_LAM,Point Fortin (Trinidad and Tobago),19750.42
R12_CHN,Guangdong Dapeng (China),R12_MEA,Ras Laffan (Qatar),9566.08
R12_CHN,Guangdong Dapeng (China),R12_NAM,Sabine Pass (USA),20264.04
R12_CHN,Guangdong Dapeng (China),R12_PAO,Sodegaura LNG Termina- Chiba (Japan),3294.57
R12_CHN,Guangdong Dapeng (China),R12_PAS,Bintulu LNG (Malaysia),2754.07
R12_CHN,Guangdong Dapeng (China),R12_SAS,Dahej LNG Terminal (India),7669.17
R12_CHN,Guangdong Dapeng (China),R12_WEU,Port of Rotterdam (Netherlands),16801.24
R12_EEU,Swinoujscie (Poland),R12_FSU,Sabetta/Yamal LNG (Russia),4953.53
R12_EEU,Swinoujscie (Poland),R12_LAM,Point Fortin (Trinidad and Tobago),8894.03
R12_EEU,Swinoujscie (Poland),R12_MEA,Ras Laffan (Qatar),13193.72
R12_EEU,Swinoujscie (Poland),R12_NAM,Sabine Pass (USA),9911.69
R12_EEU,Swinoujscie (Poland),R12_PAO,Sodegaura LNG Termina- Chiba (Japan),14013.95
R12_EEU,Swinoujscie (Poland),R12_PAS,Bintulu LNG (Malaysia),18088.54
R12_EEU,Swinoujscie (Poland),R12_SAS,Dahej LNG Terminal (India),13334.48
R12_EEU,Swinoujscie (Poland),R12_WEU,Port of Rotterdam (Netherlands),1367.21
R12_FSU,Sabetta/Yamal LNG (Russia),R12_LAM,Point Fortin (Trinidad and Tobago),11542.03
R12_FSU,Sabetta/Yamal LNG (Russia),R12_MEA,Ras Laffan (Qatar),16520.97
R12_FSU,Sabetta/Yamal LNG (Russia),R12_NAM,Sabine Pass (USA),12218.24
R12_FSU,Sabetta/Yamal LNG (Russia),R12_PAO,Sodegaura LNG Termina- Chiba (Japan),9668.92
R12_FSU,Sabetta/Yamal LNG (Russia),R12_PAS,Bintulu LNG (Malaysia),15058.98
R12_FSU,Sabetta/Yamal LNG (Russia),R12_SAS,Dahej LNG Terminal (India),16661.72
R12_FSU,Sabetta/Yamal LNG (Russia),R12_WEU,Port of Rotterdam (Netherlands),4860.93
