node_loc,technology,year_vtg,year_act,value,unit,time
R12_AFR,LNG_tanker_rcpa,broadcast,broadcast,1,%,year
R12_AFR,LNG_tanker_chn,broadcast,broadcast,1,%,year
R12_AFR,LNG_tanker_eeu,broadcast,broadcast,1,%,year
R12_AFR,LNG_tanker_fsu,broadcast,broadcast,1,%,year
R12_AFR,LNG_tanker_lam,broadcast,broadcast,1,%,year
R12_AFR,LNG_tanker_mea,broadcast,broadcast,1,%,year
R12_AFR,LNG_tanker_nam,broadcast,broadcast,1,%,year
R12_AFR,LNG_tanker_pao,broadcast,broadcast,1,%,year
R12_AFR,LNG_tanker_pas,broadcast,broadcast,1,%,year
R12_AFR,LNG_tanker_sas,broadcast,broadcast,1,%,year
R12_AFR,LNG_tanker_weu,broadcast,broadcast,1,%,year
R12_RCPA,LNG_tanker_afr,broadcast,broadcast,1,%,year
R12_RCPA,LNG_tanker_chn,broadcast,broadcast,1,%,year
R12_RCPA,LNG_tanker_eeu,broadcast,broadcast,1,%,year
R12_RCPA,LNG_tanker_fsu,broadcast,broadcast,1,%,year
R12_RCPA,LNG_tanker_lam,broadcast,broadcast,1,%,year
R12_RCPA,LNG_tanker_mea,broadcast,broadcast,1,%,year
R12_RCPA,LNG_tanker_nam,broadcast,broadcast,1,%,year
R12_RCPA,LNG_tanker_pao,broadcast,broadcast,1,%,year
R12_RCPA,LNG_tanker_pas,broadcast,broadcast,1,%,year
R12_RCPA,LNG_tanker_sas,broadcast,broadcast,1,%,year
R12_RCPA,LNG_tanker_weu,broadcast,broadcast,1,%,year
R12_CHN,LNG_tanker_afr,broadcast,broadcast,1,%,year
R12_CHN,LNG_tanker_rcpa,broadcast,broadcast,1,%,year
R12_CHN,LNG_tanker_eeu,broadcast,broadcast,1,%,year
R12_CHN,LNG_tanker_fsu,broadcast,broadcast,1,%,year
R12_CHN,LNG_tanker_lam,broadcast,broadcast,1,%,year
R12_CHN,LNG_tanker_mea,broadcast,broadcast,1,%,year
R12_CHN,LNG_tanker_nam,broadcast,broadcast,1,%,year
R12_CHN,LNG_tanker_pao,broadcast,broadcast,1,%,year
R12_CHN,LNG_tanker_pas,broadcast,broadcast,1,%,year
R12_CHN,LNG_tanker_sas,broadcast,broadcast,1,%,year
R12_CHN,LNG_tanker_weu,broadcast,broadcast,1,%,year
R12_EEU,LNG_tanker_afr,broadcast,broadcast,1,%,year
R12_EEU,LNG_tanker_rcpa,broadcast,broadcast,1,%,year
R12_EEU,LNG_tanker_chn,broadcast,broadcast,1,%,year
R12_EEU,LNG_tanker_fsu,broadcast,broadcast,1,%,year
R12_EEU,LNG_tanker_lam,broadcast,broadcast,1,%,year
R12_EEU,LNG_tanker_mea,broadcast,broadcast,1,%,year
R12_EEU,LNG_tanker_nam,broadcast,broadcast,1,%,year
R12_EEU,LNG_tanker_pao,broadcast,broadcast,1,%,year
R12_EEU,LNG_tanker_pas,broadcast,broadcast,1,%,year
R12_EEU,LNG_tanker_sas,broadcast,broadcast,1,%,year
R12_EEU,LNG_tanker_weu,broadcast,broadcast,1,%,year
R12_FSU,LNG_tanker_afr,broadcast,broadcast,1,%,year
R12_FSU,LNG_tanker_rcpa,broadcast,broadcast,1,%,year
R12_FSU,LNG_tanker_chn,broadcast,broadcast,1,%,year
R12_FSU,LNG_tanker_eeu,broadcast,broadcast,1,%,year
R12_FSU,LNG_tanker_lam,broadcast,broadcast,1,%,year
R12_FSU,LNG_tanker_mea,broadcast,broadcast,1,%,year
R12_FSU,LNG_tanker_nam,broadcast,broadcast,1,%,year
R12_FSU,LNG_tanker_pao,broadcast,broadcast,1,%,year
R12_FSU,LNG_tanker_pas,broadcast,broadcast,1,%,year
R12_FSU,LNG_tanker_sas,broadcast,broadcast,1,%,year
R12_FSU,LNG_tanker_weu,broadcast,broadcast,1,%,year
R12_LAM,LNG_tanker_afr,broadcast,broadcast,1,%,year
R12_LAM,LNG_tanker_rcpa,broadcast,broadcast,1,%,year
R12_LAM,LNG_tanker_chn,broadcast,broadcast,1,%,year
R12_LAM,LNG_tanker_eeu,broadcast,broadcast,1,%,year
R12_LAM,LNG_tanker_fsu,broadcast,broadcast,1,%,year
R12_LAM,LNG_tanker_mea,broadcast,broadcast,1,%,year
R12_LAM,LNG_tanker_nam,broadcast,broadcast,1,%,year
R12_LAM,LNG_tanker_pao,broadcast,broadcast,1,%,year
R12_LAM,LNG_tanker_pas,broadcast,broadcast,1,%,year
R12_LAM,LNG_tanker_sas,broadcast,broadcast,1,%,year
R12_LAM,LNG_tanker_weu,broadcast,broadcast,1,%,year
R12_MEA,LNG_tanker_afr,broadcast,broadcast,1,%,year
R12_MEA,LNG_tanker_rcpa,broadcast,broadcast,1,%,year
R12_MEA,LNG_tanker_chn,broadcast,broadcast,1,%,year
