node_loc,technology,year_vtg,year_act,mode,node_origin,commodity,level,time,time_origin,value,unit
R12_AFR,coal_shipped_exp_rcpa,broadcast,broadcast,M1,R12_AFR,coal,primary,year,year,1.0,GWa
R12_AFR,coal_shipped_exp_chn,broadcast,broadcast,M1,R12_AFR,coal,primary,year,year,1.0,GWa
R12_AFR,coal_shipped_exp_eeu,broadcast,broadcast,M1,R12_AFR,coal,primary,year,year,1.0,GWa
R12_AFR,coal_shipped_exp_fsu,broadcast,broadcast,M1,R12_AFR,coal,primary,year,year,1.0,GWa
R12_AFR,coal_shipped_exp_lam,broadcast,broadcast,M1,R12_AFR,coal,primary,year,year,1.0,GWa
R12_AFR,coal_shipped_exp_mea,broadcast,broadcast,M1,R12_AFR,coal,primary,year,year,1.0,GWa
R12_AFR,coal_shipped_exp_nam,broadcast,broadcast,M1,R12_AFR,coal,primary,year,year,1.0,GWa
R12_AFR,coal_shipped_exp_pao,broadcast,broadcast,M1,R12_AFR,coal,primary,year,year,1.0,GWa
R12_AFR,coal_shipped_exp_pas,broadcast,broadcast,M1,R12_AFR,coal,primary,year,year,1.0,GWa
R12_AFR,coal_shipped_exp_sas,broadcast,broadcast,M1,R12_AFR,coal,primary,year,year,1.0,GWa
R12_AFR,coal_shipped_exp_weu,broadcast,broadcast,M1,R12_AFR,coal,primary,year,year,1.0,GWa
R12_RCPA,coal_shipped_exp_afr,broadcast,broadcast,M1,R12_RCPA,coal,primary,year,year,1.0,GWa
R12_RCPA,coal_shipped_exp_chn,broadcast,broadcast,M1,R12_RCPA,coal,primary,year,year,1.0,GWa
R12_RCPA,coal_shipped_exp_eeu,broadcast,broadcast,M1,R12_RCPA,coal,primary,year,year,1.0,GWa
R12_RCPA,coal_shipped_exp_fsu,broadcast,broadcast,M1,R12_RCPA,coal,primary,year,year,1.0,GWa
R12_RCPA,coal_shipped_exp_lam,broadcast,broadcast,M1,R12_RCPA,coal,primary,year,year,1.0,GWa
R12_RCPA,coal_shipped_exp_mea,broadcast,broadcast,M1,R12_RCPA,coal,primary,year,year,1.0,GWa
R12_RCPA,coal_shipped_exp_nam,broadcast,broadcast,M1,R12_RCPA,coal,primary,year,year,1.0,GWa
R12_RCPA,coal_shipped_exp_pao,broadcast,broadcast,M1,R12_RCPA,coal,primary,year,year,1.0,GWa
R12_RCPA,coal_shipped_exp_pas,broadcast,broadcast,M1,R12_RCPA,coal,primary,year,year,1.0,GWa
R12_RCPA,coal_shipped_exp_sas,broadcast,broadcast,M1,R12_RCPA,coal,primary,year,year,1.0,GWa
R12_RCPA,coal_shipped_exp_weu,broadcast,broadcast,M1,R12_RCPA,coal,primary,year,year,1.0,GWa
